COUNTRY,CITY,Rental Amount
Spain,A Corua (La Corua),107.71
Saudi Arabia,Abha,96.76
United Arab Emirates,Abu Dhabi,107.68
Mexico,Acua,113.74
Turkey,Adana,112.74
Ethiopia,Addis Abeba,91.77
Yemen,Aden,137.69
India,Adoni,101.78
India,Ahmadnagar,128.67
Japan,Akishima,109.72
United States,Akron,146.69
United Arab Emirates,al-Ayn,106.75
Saudi Arabia,al-Hawiya,80.82
Bahrain,al-Manama,112.75
Sudan,al-Qadarif,57.81
Saudi Arabia,al-Qatif,110.75
Italy,Alessandria,91.79
India,Allappuzha (Alleppey),98.76
Mexico,Allende,105.75
Argentina,Almirante Brown,101.75
Brazil,Alvorada,96.74
India,Ambattur,120.74
Netherlands,Amersfoort,93.77
India,Amroha,88.76
Brazil,Angra dos Reis,134.7
Brazil,Anpolis,93.75
Chile,Antofagasta,127.73
Brazil,Aparecida de Goinia,95.77
Netherlands,Apeldoorn,194.61
Brazil,Araatuba,100.72
Iran,Arak,92.73
Puerto Rico,Arecibo,150.66
United States,Arlington,109.75
Israel,Ashdod,137.67
Turkmenistan,Ashgabat,136.73
Israel,Ashqelon,86.81
Paraguay,Asuncin,87.79
Greece,Athenai,135.74
Russian Federation,Atinsk,105.71
Mexico,Atlixco,141.67
United States,Augusta-Richmond County,105.73
United States,Aurora,198.5
Argentina,Avellaneda,132.7
Brazil,Bag,78.84
Argentina,Baha Blanca,128.72
China,Baicheng,117.71
China,Baiyin,120.74
Azerbaijan,Baku,109.73
Russian Federation,Balaiha,100.78
Turkey,Balikesir,152.63
India,Balurghat,91.74
Cameroon,Bamenda,99.77
Brunei,Bandar Seri Begawan,113.65
Gambia,Banjul,129.7
Venezuela,Barcelona,66.79
Switzerland,Basel,58.86
Israel,Bat Yam,84.83
Turkey,Batman,145.67
Algeria,Batna,112.72
Cambodia,Battambang,98.74
Philippines,Baybay,129.7
Philippines,Bayugan,92.75
Algeria,Bchar,96.75
Mozambique,Beira,151.63
United States,Bellevue,91.8
Brazil,Belm,145.68
Angola,Benguela,111.75
Morocco,Beni-Mellal,82.78
Nigeria,Benin City,126.72
Italy,Bergamo,151.64
India,Berhampore (Baharampur),75.79
Switzerland,Bern,109.75
India,Bhavnagar,106.77
India,Bhilwara,161.68
India,Bhimavaram,118.71
India,Bhopal,134.68
India,Bhusawal,103.74
India,Bijapur,175.61
Egypt,Bilbays,110.72
China,Binzhou,141.67
Nepal,Birgunj,116.78
Philippines,Bislig,79.79
Brazil,Blumenau,126.73
Brazil,Boa Vista,130.68
South Africa,Boksburg,135.68
Romania,Botosani,124.67
South Africa,Botshabelo,95.72
