city,AVG(pay.amount),"dense_rank() over (order by AVG(pay.amount) desc)"
Sumy,5.704286,1
Naala-Porto,5.350000,2
Birgunj,5.308182,3
Halisahar,5.271250,4
"Pangkal Pinang",5.267778,5
Kursk,5.250870,6
Kimberley,5.240000,7
Athenai,5.220769,8
Otsu,5.220769,8
Sal,5.171818,9
Memphis,5.137059,10
Southampton,5.120435,11
"Donostia-San Sebastin",5.119032,12
Vijayawada,5.110000,13
"Santa Rosa",5.080909,14
Newcastle,5.076957,15
Plock,5.073333,16
Ashgabat,5.064074,17
Bhilwara,5.052500,18
Chapra,5.040000,19
Tsuyama,5.037619,20
Simferopol,5.028462,21
Hodeida,5.021250,22
Apeldoorn,4.990000,23
"Santa Brbara dOeste",4.990000,23
"Bat Yam",4.990000,23
Sirjan,4.990000,23
Stockport,4.990000,23
Zhoushan,4.990000,23
"Juiz de Fora",4.990000,23
Onomichi,4.955517,24
Nyeri,4.955517,24
Mysore,4.952963,25
"Juazeiro do Norte",4.944545,26
Yantai,4.940000,27
Denizli,4.934444,28
Bag,4.927500,29
"Cape Coral",4.923333,30
Qomsheh,4.911053,31
Sogamoso,4.906667,32
Quilmes,4.906667,32
Sultanbeyli,4.903043,33
Ibirit,4.890000,34
"Vila Velha",4.886552,35
Osmaniye,4.878889,36
Hino,4.878889,36
Maikop,4.865000,37
Maracabo,4.859565,38
Sincelejo,4.856667,39
Omdurman,4.847143,40
Wroclaw,4.847143,40
Jining,4.841852,41
Usolje-Sibirskoje,4.838485,42
Vancouver,4.823333,43
"Sterling Heights",4.817586,44
Cuauhtmoc,4.817586,44
Emeishan,4.797692,45
Yangor,4.796452,46
Imus,4.783103,47
Coatzacoalcos,4.783103,47
Guaruj,4.781667,48
Goinia,4.775714,49
Joliet,4.775714,49
"Cam Ranh",4.771250,50
"San Bernardino",4.767778,51
Ozamis,4.767778,51
Brescia,4.764194,52
"Coacalco de Berriozbal",4.762727,53
Valparai,4.761429,54
"Kowloon and New Kowloon",4.756667,55
Daugavpils,4.756667,55
"Mandi Bahauddin",4.754706,56
Okayama,4.751905,57
Yerevan,4.750000,58
Kuwana,4.750000,58
Syrakusa,4.740000,59
Ilorin,4.731935,60
Akron,4.731935,60
Antofagasta,4.730741,61
"Nam Dinh",4.723333,62
Kamyin,4.720769,63
Cayenne,4.717273,64
Tonghae,4.710000,65
Saint-Denis,4.707391,66
Elista,4.704286,67
Ruse,4.698333,68
Blumenau,4.693704,69
"Purnea (Purnia)",4.693704,69
Skikda,4.692703,70
Maring,4.685652,71
Tianjin,4.685652,71
Brockton,4.682308,72
Erlangen,4.679655,73
Jedda,4.668571,74
Probolinggo,4.666471,75
Clarksville,4.656667,76
Molodetno,4.656667,76
Omiya,4.656667,76
Yinchuan,4.656667,76
Talavera,4.656667,76
Funafuti,4.643846,77
Ambattur,4.643846,77
Sawhaj,4.643846,77
Baiyin,4.643846,77
Ede,4.642174,78
"San Lorenzo",4.642174,78
Bhavnagar,4.642174,78
York,4.632857,79
Loja,4.632857,79
Adoni,4.626364,80
"Nakhon Sawan",4.626364,80
Gaziantep,4.626364,80
Rajkot,4.626364,80
Purwakarta,4.621579,81
"Mit Ghamr",4.619630,82
Tanauan,4.618571,83
"Santiago de los Caballeros",4.615000,84
Mwene-Ditu,4.615000,84
Rancagua,4.615000,84
Kirovo-Tepetsk,4.610690,85
Olomouc,4.610690,85
Udaipur,4.605385,86
Pjatigorsk,4.605385,86
"Baha Blanca",4.597143,87
Kragujevac,4.596061,88
Uruapan,4.596061,88
Ife,4.590000,89
Bellevue,4.590000,89
Mexicali,4.590000,89
Balaiha,4.580909,90
Miraj,4.576207,91
"Rae Bareli",4.570645,92
Siegen,4.568947,93
Ashqelon,4.568947,93
"Deba Habe",4.555217,94
Dongying,4.555217,94
Belm,4.552500,95
"Huejutla de Reyes",4.550000,96
"Santa F",4.545556,97
Robamba,4.538387,98
Xiangtan,4.535455,99
Livorno,4.531667,100
Iwaki,4.528462,101
"Benin City",4.525714,102
Coquimbo,4.525714,102
Papeete,4.523333,103
Sumqayit,4.523333,103
Ogbomosho,4.521250,104
Niznekamsk,4.519412,105
