title,sum(pay.amount),name
"ACADEMY DINOSAUR",36.77,Documentary
"ADAPTATION HOLES",37.88,Documentary
"ARMY FLINTSTONES",41.84,Documentary
"BEACH HEARTBREAKERS",64.83,Documentary
"BED HIGHBALL",24.94,Documentary
"BILL OTHERS",67.81,Documentary
"BONNIE HOLOCAUST",32.84,Documentary
"BROTHERHOOD BLANKET",101.74,Documentary
"CAUSE DATE",128.79,Documentary
"CHICKEN HELLFIGHTERS",68.78,Documentary
"CIDER DESIRE",62.81,Documentary
"CLERKS ANGELS",50.93,Documentary
"COAST RAINBOW",42.79,Documentary
"CUPBOARD SINNERS",106.77,Documentary
"DANCING FEVER",55.73,Documentary
"DEEP CRUSADE",80.86,Documentary
"DOZEN LION",36.93,Documentary
"DUFFEL APOCALYPSE",6.93,Documentary
"EGG IGBY",105.79,Documentary
"EXPENDABLE STALLION",97.72,Documentary
"FRENCH HOLIDAY",102.83,Documentary
"HALLOWEEN NUTS",35.90,Documentary
"HARDLY ROBBERS",15.96,Documentary
"HAWK CHILL",15.93,Documentary
"HEAVYWEIGHTS BEAST",129.77,Documentary
"HOMEWARD CIDER",23.84,Documentary
"HUNTER ALTER",24.95,Documentary
"INDEPENDENCE HOTEL",38.81,Documentary
"INTOLERABLE INTENTIONS",49.91,Documentary
"MADISON TRAP",76.85,Documentary
"MAJESTIC FLOATS",43.83,Documentary
"METAL ARMAGEDDON",103.75,Documentary
"MIDSUMMER GROUNDHOG",156.78,Documentary
"MIGHTY LUCK",38.88,Documentary
"MOD SECRETARY",61.89,Documentary
"MODERN DORADO",49.85,Documentary
"NATIONAL STORY",82.81,Documentary
"NEWSIES STORY",22.93,Documentary
"NORTH TEQUILA",65.89,Documentary
"NOTORIOUS REUNION",25.86,Documentary
"PACIFIC AMISTAD",62.76,Documentary
"PELICAN COMFORTS",188.74,Documentary
"POCUS PULP",43.74,Documentary
"PRINCESS GIANT",142.74,Documentary
"QUILLS BULL",100.84,Documentary
"ROAD ROXANNE",130.81,Documentary
"SAGEBRUSH CLUELESS",91.84,Documentary
"SECRET GROUNDHOG",116.79,Documentary
"SHIP WONDERLAND",47.85,Documentary
"SHOW LORD",170.75,Documentary
"SMOKING BARBARELLA",18.83,Documentary
"SPOILERS HELLFIGHTERS",20.90,Documentary
"STREAK RIDGEMONT",24.84,Documentary
"THIN SAGEBRUSH",73.89,Documentary
"UNITED PILOT",55.83,Documentary
"UNTOUCHABLES SUNRISE",35.92,Documentary
"VIRGINIAN PLUTO",51.71,Documentary
"WAGON JAWS",38.90,Documentary
"WARS PLUTO",42.90,Documentary
"WEDDING APOLLO",81.76,Documentary
"WIFE TURN",223.69,Documentary
"WRATH MILE",23.86,Documentary
"YOUNG LANGUAGE",6.93,Documentary
